"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"s__aestivum",-0.0605653838505533,0.164994974481948,0.352764384077049,0.506687274644942,-0.171687921412511,0.32563473120095,0.874610790077104,0.766091270370055,0.959132000882874,0.915361277006508,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__wadsworthia",-0.140376650898335,0.0248567669794127,1.10824477667877,1.19945067817265,-0.126665745557603,0.0207234590231604,0.903343129404535,0.984138230695129,0.960579246473594,0.990430636927176,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__piger",0.625649038126971,-1.5071946110712,1.05127530120772,1.65378708082721,0.595133394086418,-0.911359526594751,0.573499100789416,0.397242420092688,0.898998590426652,0.722510603792276,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__uncultured Mailhella sp.",0.898129771423261,-3.09258409372104,0.63330654156094,0.729893101066619,1.4181596312105,-4.23703702528731,0.251173545144895,0.0240654574420859,0.805289610345159,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Acutalibacteraceae phage NatCom_991",-0.662705341073808,0.516810627659628,0.572462079803189,0.707554004171087,-1.15764059219721,0.730418631811831,0.366579742496471,0.54110807739743,0.838578104439587,0.820473491440934,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Caudovirales sp. ctlwr10",0.122546740450515,-1.05369353538902,0.124619752267212,0.449490114849204,0.983365303019927,-2.34419734846118,0.42910587759747,0.143749606456163,0.847728361094181,0.546758598285218,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Caudovirales sp. ctt3K6",-1.31443139359336,1.45622651497857,0.297161822540024,0.46452935413293,-4.42328487003514,3.13484282967801,0.0214578952112371,0.05187036059231,0.303096658027163,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Caudoviricetes sp.",0.112630729455054,-0.481157993727366,0.288528570204445,0.429644856711318,0.390362484294869,-1.11989701776102,0.709750902568304,0.305573959424324,0.93910635184136,0.666783642338144,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Christensenellales phage IMGVR 15666929",0.515647228048915,-2.13637773528517,1.10560123772842,1.16375830157158,0.466395306420213,-1.83575724650053,0.672711587782386,0.163727954058925,0.926382149195326,0.558601255024568,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Myoviridae sp. ct0e511",1.24971144365704,-3.09175523397932,0.248877478949228,0.512236924664804,5.0213922486413,-6.03579141820457,0.0374463956358346,0.0263684584874908,0.337017560722511,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Myoviridae sp. ctHMa1",-0.435453155448951,0.219163595640072,0.895708662965833,1.01101800369105,-0.486154899972829,0.216775166060292,0.647414712594873,0.836950900557912,0.926382149195326,0.939633690009672,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Myoviridae sp. ctkOm7",-0.969362984692183,1.40730668791927,0.78518203363359,0.88696264403735,-1.23457102069218,1.58665835295315,0.304874799478336,0.210782096699235,0.819734599260655,0.60262996401362,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Myoviridae sp. ctLtm40",-0.802137864921388,0.724411486615155,0.654025613354562,0.759504799094212,-1.22646246346094,0.953794482245656,0.344822178253366,0.440849247157493,0.83414011074788,0.744735621411687,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Myoviridae sp. ctr0w28",0.232413993674109,-0.709382207586679,0.17670652904018,0.397313660989483,1.31525413880583,-1.78544630411149,0.318977494277559,0.216111295148524,0.824288376301414,0.606505892836182,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__phage NatCom_9287",1.10523241710972,-2.77449902938441,0.178427314619622,0.466952563813771,6.19430057256589,-5.94171495006703,0.0250859139604828,0.0271760628006377,0.310555482042284,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Podoviridae sp. ctJaJ36",0.0500636239914115,-0.860392796109773,0.363786138240047,0.508070290435176,0.13761828373564,-1.69345228860523,0.897191510993201,0.165621156657066,0.960536129403462,0.559784309804904,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Ruminococcus phage NatCom_23091",-1.24657622242646,1.4624259082194,0.159524298295452,0.501455888048664,-7.81433446657574,2.9163600290151,0.004362805378587,0.0616777217912961,0.27494237287908,0.474434911017114,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctBLh2",0.597218841444856,-1.16363554069393,0.316810500776222,0.620543989230528,1.88509800016603,-1.87518622513262,0.155907481246413,0.157443029331476,0.702501182273284,0.551578934973358,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctd9R8",0.156174930325459,-0.904682207316158,0.414747440654812,0.611529859218258,0.376554295498211,-1.4793753627544,0.742700557757404,0.27715288201572,0.939759595363969,0.664456227233788,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctDDY10",-0.303569739204344,-0.0116323827879908,0.295661674344598,0.807897735082852,-1.02674700695407,-0.0143983356839067,0.351622589492038,0.989069044124219,0.838578104439587,0.990967449199313,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. ctDmQ3",0.024528792207477,-0.478470430465849,0.294278027980203,0.458590435030122,0.083352441824597,-1.04335021822778,0.938821590529785,0.373462682767579,0.9729284088335,0.711126180997217,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"s__Siphoviridae sp. cte421",-0.302816019790419,-0.231266166407413,0.235641074132519,0.426645635404382,-1.2850731601237,-0.542056796592364,0.327492127321222,0.642097609357727,0.829858691561543,0.872851437720661,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
